screen_name,created_at,text
Jm33t8MkLcgmGP2,2020-01-16T04:41:10Z,"生活保護費は減額、消費税は増税。

冬の札幌で「ストーブ禁止」…
貧乏人は死ねと❓

お時間ある方，宜しかったら札幌市役所に抗議の電話を😡

大問題にしないと安倍政権の目指す福祉削減はどんどん加速します‼

私達も生活保護費受給者も消費税納入者ですよ‼ https://t.co/Txd6D0YLJ7 https://t.co/MGfiDJntxJ"
Jm33t8MkLcgmGP2,2020-01-15T15:07:20Z,"@ajt159beg @IlYlnL5CAn4SYx5 おぉぉぉ〜全然知らなかった!!!

一つの鍵を握る夫妻だと思うしこれは観てみたい。

親子絶縁か……なんという悲劇。

親があそこまで苦しめられてよく安倍政権につくなと。

親より利権か?!"
taro7th,2020-01-16T04:41:10Z,"ジム・ロジャーズ「安倍首相の経済政策もほぼすべてが間違い」その理由は？〈週刊朝日〉（AERA dot.） - Y!ニュース
#Yahooニュースアプリ  朝日とロジャーズが言うなら安倍さんに任せて安心ってことだろう(笑) https://t.co/AHCJs1NqJS"
21jyou,2020-01-16T04:41:01Z,安倍首相がやっている対中政策はかつて、イギリスのチェンバレン がやった対独融和政策と同じで、日中関係は正常化していない。国賓で招くのは、ヒトラーやポルポトを招くのと、同じ。 https://t.co/Edv3yXSai9
21jyou,2020-01-16T03:36:26Z,その安倍内閣も、蔡英文の再選に、祝辞を送ったんだよ。 https://t.co/Q5ZKMAJKaV
21jyou,2020-01-16T03:47:52Z,うん、安倍さんは支持者や与党内から中国の人権問題に積極的に言うように、突き上げを食らっている。そして、野党からも、中国の人権問題を言わないことに対して、批判されている。だから、何らかの対応したり、中国に強いメッセージを送らざる得ない。 https://t.co/p7nLkjlqzI
cattail_siro,2020-01-16T04:40:59Z,@wanpakuten 安倍？👀？
kajika39,2020-01-16T02:45:49Z,"@mabo3desu @ozawa_jimusho マイナンバーカードは危険性を孕んでいると思っています。
個人情報が国に一括管理されます。今の安倍政治を見ていると悪用されることは容易に想像できます。
趣味、食の嗜好、政治思想、購入書籍、病歴、移動その他。公安の監視対象にされることも有りえます。
現にデモに参加した方の不法逮捕も"
kajika39,2020-01-16T04:40:57Z,"@takeeda_jin ご丁寧に有難うございます。
余りの酷さに目を疑いました。
安倍ねつ造さん、美しい日本文化を破壊していませんか。
世界の和食料理店でお箸くるくるを真顔で始める日本文化愛好者の外国人が増えたら大変。"
kajika39,2020-01-16T02:24:47Z,安倍首相が国会で質問中の民主党議員に対し「日教組！日教組！」とヤジを飛ばした模様（動画追加） - NAVER まとめ https://t.co/sRSt7lJfk6
kajika39,2020-01-16T02:32:22Z,"人の容姿について語ることは失礼なのでしないが、
安倍のヤジる『表情』はチンパンジーに見える。
品位の無い人柄が表れてしまうのか？

表情 ⇨ 感情の動きにつれて変わる顔つき"
kajika39,2020-01-16T01:58:03Z,沖縄県民がなぜ命を奪われたのか、歴史と謙虚に向き合った人間ならばこのような見え透いた嘘はつけない。戦没者は大日本帝国に強いられた犠牲者なのだ。失わずに済んだ命だった。そして今また安倍政権は平和を希求する沖縄に基地負担を強いている。『ぬちどう宝』は失われた命が生んだ珠玉の言葉。 https://t.co/tzdcv2zZ4Q
kajika39,2020-01-15T13:16:55Z,"『この総理大臣は自分の欲望のためなら、自衛隊員の命などなんとも思っていないということだ。・・・』

米イラン緊張のなか“自衛隊の中東派遣”第一弾強行！「調査研究」「日本のタンカー守る」は真っ赤な嘘、安倍首相が本当に狙うのは… https://t.co/QY8tvqymz2 @litera_webさんから"
kajika39,2020-01-16T02:00:38Z,安倍は過去の過ちを繰り返そうとしている。それは戦没者への冒涜でもある。戦没者の無念に応えた民意が玉城知事を誕生させた。安倍批判を慰霊の場ですべきではないと、さももっともらしい理由をこじつけて安倍批判を断罪する者がいるが、二度と沖縄を戦場にさせない為に基地の縮小、撤去こそ誓うべきだ https://t.co/tzdcv2zZ4Q
kajika39,2020-01-16T04:00:04Z,"@XU438 @YouTube たった今見ました。
酷すぎですね。
国の文化を汚しているとしか言いようが有りません。
親の躾は大切。
安倍の所作は汚い。"
kajika39,2020-01-16T02:21:41Z,"人の容姿について語ることは失礼なのでしないが、
安倍のヤジる『表情』はチンパンジーに見える。
品位の無い人柄が表れてしまうのか？

“日本国総理大臣”安倍晋三のヤジ:2015.2.19 衆議院予算委員会 https://t.co/lXod0FxfaN @YouTubeさんから"
kajika39,2020-01-16T00:56:22Z,"戦前、戦中の言論弾圧と思想統制を徹底した悪法『治安維持法』を思い起こしてしまう。
安倍は日本を、あの時代、あの社会に戻したいのだろうか。
戦後最も危険で悪意ある政治家に思えて仕方がない。
特に近隣諸国や、政権に反対する国民に対し憎悪をあらわにした態度は見るに堪えない。 https://t.co/KL1Ai9K0Z1"
kajika39,2020-01-16T00:34:02Z,@ppsh41_1945 沖縄県民がなぜ命を奪われたのか、歴史と謙虚に向き合った人間ならばこのような見え透いた嘘はつけない。戦没者は大日本帝国に強いられた犠牲者なのだ。失わずに済んだ命だった。そして今また安倍政権は平和を希求する沖縄に基地負担を強いている。『ぬちどう宝』は失われた命が生んだ珠玉の言葉。
kajika39,2020-01-16T02:15:21Z,"安倍を筆頭に自民党議員の品性の無さに唖然！
このような人物が行政のトップにいることは恥ずかしい。

玉木議員の指摘は正論。法改正すべきだ。

「日教組！」　安倍晋三、ヤジとデマ中傷で献金問題を必死こいてごまかす https://t.co/mxnZI6em4v @YouTubeさんから"
kajika39,2020-01-16T00:55:31Z,"@akasakaromantei @YamaguchiShoko 戦前、戦中の言論弾圧と思想統制を徹底した悪法『治安維持法』を思い起こしてしまう。
安倍は日本を、あの時代、あの社会に戻したいのだろう。
戦後最も危険で悪意ある政治家に思えて仕方がない。
特に近隣諸国や、政権に反対する国民に対し憎悪をあらわにした態度は見るに堪えない。"
kajika39,2020-01-16T00:35:57Z,@ppsh41_1945 安倍は過去の過ちを繰り返そうとしている。それは戦没者への冒涜でもある。戦没者の無念に応えた民意が玉城知事を誕生させた。安倍批判を慰霊の場ですべきではないと、さももっともらしい理由をこじつけて安倍批判を断罪する者がいる。二度と沖縄を戦場にさせない為に基地の縮小、撤去こそ誓うべきだ。
kajika39,2020-01-16T04:34:21Z,"日本の有権者がまさにこれ。
投票所へ行かないよね。
安倍ねつ造さんには好都合だ。 https://t.co/vpab56Ji1X"
nkObBDnA7ARdkfs,2020-01-16T04:40:47Z,"@mikihiro1999 @hyakutanaoki 当事者意識の無い「政治家批判」は、国を滅ぼす。　第一次安倍内閣がマスコミの批判で倒れたように。

文化人も「影響力」という点では、十分な権力を有するのに、結果に対する責任が一切無い。"
nuuchan,2020-01-16T04:40:33Z,@wanpakuten 安倍晋三一味の悪巧みに積極的に荷担する内閣府なんて、もう要らない！解体すべきだ！
nuuchan,2020-01-16T00:11:55Z,@kitanohousei @wanpakuten 閣議決定私人・安倍昭恵の旅費も、この安倍害遊で無駄に使われてる国民の血税から一緒に出ていると思います。
nuuchan,2020-01-16T00:03:41Z,"安倍晋三が居座る限り、日本は凋落し、衰退する一方だよ！
日本は世界の波から取り残される！？ | NHKニュース   https://t.co/D9gbkzxStU"
nuuchan,2020-01-16T03:49:58Z,@bansensyukai @anpontan_higuma @pecko178 安倍晋三はもっと小さくしても良いと思います。
nuuchan,2020-01-16T03:41:33Z,@fGYpWVhB2FwafYb @yamottcoji @_9193826431241 代表的な安倍外交の失敗例→北方領土。4島返還→2島返還に条件を変え、プーチンを接待しまくったが、却ってロシア側の態度を硬化させて領土返還交渉その物すら拒絶されている。その間にも特に択捉島ではロシア化が進行している。
nuuchan,2020-01-16T00:02:17Z,"黒柳徹子も堕ちたもんだな！安倍晋三とその一味が海外に「日本スゴイ｣を喧伝する企みの、こんなイベントに協力するとは！幻滅だよ！
東京オリンピック・パラリンピックに合わせて、全国各地で日本文化を発信する「日本博」の広報大使に、ユニセフ＝国連児童基金の… https://t.co/HHCbnymQMs"
akebonobashi11,2020-01-16T04:40:32Z,安倍首相「躊躇ない」が発端 通常国会“冒頭解散説”再浮上 https://t.co/AJotgb5jUj #日刊ゲンダイDIGITAL
akebonobashi11,2020-01-15T12:02:45Z,「名簿はなかったことに…」官僚たちが目論んだ完全犯罪　すべてはアベのために（田中龍作ジャーナル） 赤かぶ https://t.co/QYdBIxsDdh
VX5Au9sjqueofrI,2020-01-16T04:40:29Z,@nogutiya 世の中の感覚をおかしくしてるのは河井夫婦や安倍や麻生といった責任取らない口だけの保身の人だ。この少数の為に世の中と言っていいほど悪影響を被ってる。
JIMMYandBILLY,2020-01-15T19:30:03Z,"@taka_pub @UWzpsYGd42tzLie 【#もはや同類】安倍晋三（自民党/衆院/山口4区）一味と反社会的勢力。明治維新という名の国家転覆テロ＋売国を首謀・主導し、今も権力を掌握し続ける長州藩（現・山口県）の伝統システム。【#意味合いも実態も全く一緒】
https://t.co/M61aCyYXff"
JIMMYandBILLY,2020-01-16T04:38:44Z,"@n3siuwp @bSM2TC2coIKWrlM @jkstwrnana @hey_hey_my_my5 自民党(岸&amp;佐藤~)政権が沖縄米軍基地への核配備を黙認してた事を民主党政権の調査でやっと知らされた県民は、核兵器禁止条約に反対したアベ首相&amp; #高見沢将林(基地問題に着手しようとした鳩山首相を陥れ失脚させた官僚)を到底許す事はできないだろう。https://t.co/1oALS0HW7E
https://t.co/DB3duLpzE5"
JIMMYandBILLY,2020-01-16T04:40:28Z,@yosinotennin @sasadoufuNENE ☟流行語大賞の「保育園落ちた日本～」を中傷する流れで日本の貧困層を差別し逃亡したアベ擁護芸人https://t.co/uwpmMLqUJJは現在…安倍が税金を私物化して有権者を買収する自民党&amp;公明党の公選法違反イベント『桜を見る会』犯罪を追求する野党を、デタラメすぎる屁理屈で「くだらない」と貶め炎上中。 https://t.co/HPy8KCpsvJ
JIMMYandBILLY,2020-01-16T03:30:38Z,"@kodamanozomi1 @jkstwrnana 「人権を削除した憲法草案にしました」（#片山さつき/自民党/参院/比例）

…と、アベ一味が国家転覆を企ててる実態を自白したTWが永久保存されたリンク☟を示すTWがコチラ！リツイートだけでなく、各自URLをコピペし自分のツイートでドンドン発信すること！https://t.co/bqUiLX4cRu"
JIMMYandBILLY,2020-01-16T04:11:32Z,@Seisu_Ken @jkstwrnana 読売新聞（日テレ/読売テレビ）はCIAスパイである事が機密指定解除されたアメリカ公文書によりバレた元A級戦犯・正力松太郎の手で設立。一方、産経新聞（フジTV）は統一教会の広報なので統一教会の日本代表・安倍晋三を守るため大嘘を流します。両方とも #バカ洗脳装置。https://t.co/33mGS88C4S https://t.co/w1W2rlpxcE
JIMMYandBILLY,2020-01-15T20:41:37Z,@risusuzume @UWzpsYGd42tzLie @utakitiggssw @kitanohousei @minervaowl_fly 第2次安倍政権発足以降、アベ犯罪不起訴マシンとして異常な早さで出世を続ける法務官僚･#黒川弘務 と、アベ犯罪の核『内閣人事局』の関係を知るならコチラを参照！☟なお黒川は #日米合同委員会 のメンバーでもあり小沢一郎を陥れるなど民主党政権を崩壊させるべく暗躍した。https://t.co/iS1bBlpbWu
JIMMYandBILLY,2020-01-15T20:47:50Z,@isa_kent @simanekomama 敗戦直後の漫画「こいつが悪かったんだ！」は74年経った今も悪い意味で色褪せないhttps://t.co/S4oy5OLmxw日本人の無責任と無反省は昔も今も変わらない…小泉純一郎☛石原慎太郎☛安倍晋三☛橋下徹☛小池百合子に騙され「裏切られた」と絶叫しながら今度は小泉進次郎に騙されるという救いようの無さ！ https://t.co/PzQbGZ1g9N
JIMMYandBILLY,2020-01-16T02:56:28Z,@desler @sctc_ys 日本会議に所属する知事＝#戦争屋の手先 という構図は石原慎太郎（東京）がそうだったように…上田清司（埼玉）森田健作（千葉）松井一郎（大阪）そして小池都知事にもソックリ当てはまる！彼らはアベ自民と手を組み戦争利権を貪る外道。⚡️沖縄米軍新基地は超巨大な戦争利権⚡️https://t.co/T9oleqDm3V
JIMMYandBILLY,2020-01-16T04:31:32Z,"@horiris @jkstwrnana マリー・アントワネットの国税私物化を金額で遥かに超えた事が発覚したヤバい人･#安倍昭恵 のフェイスブック投稿

「明日は桜を見る会
地元の皆さんと久しぶりにお会いして嬉しそうな主人(安倍晋三/自民党/衆院/山口4区)です・・」

も☟消される前にアーカイヴ化し永久保存！https://t.co/3vYJgrijwv"
JIMMYandBILLY,2020-01-16T03:13:30Z,"@akasakaromantei @jkstwrnana 東京五輪は、あの安倍昭恵も勤めていた工作機関・電通㈱がIOCに賄賂を贈って獲得した大プロジェクトだから姑息な手口も総動員して世論誘導中？ならはブロックされる前に、こちらからJOCを先制ブロックしよう。#なお電通はパナマ文書で巨額脱税が発覚したのにバックレた反社　
https://t.co/hcpQTgURwn https://t.co/nOGZ0ODj4a"
JIMMYandBILLY,2020-01-15T21:56:54Z,"@89Tweet @simanekomama @Tokyo2020jp 東京五輪は、あの安倍昭恵も勤めていた工作機関・電通㈱がIOCに賄賂を贈って獲得した大プロジェクトだから姑息な手口も総動員しての世論誘導中？ならブロックされる前に、こちらからJOCを先制ブロックしよう。#なお電通はパナマ文書で巨額脱税が発覚したのにバックレた反社　
https://t.co/hcpQTgURwn https://t.co/EhfrhRZSkI"
JIMMYandBILLY,2020-01-16T03:28:46Z,"@K2sNagare @jkstwrnana 〉オスプレイ機体に劣化ウラン&amp;トリチウムが使われてる事が判明。墜落し燃焼すれば人体に影響…ウランは毒性が非常に強く…これ最重要事項なのになぜ今まで報じられなかった?

…アベ「被曝じゃない、絆だ！」って事。☟大宮駅近隣に #劣化ウラン&amp;トリチウムのドラム缶30910本https://t.co/SXDyBGK78C"
ysaky31,2020-01-16T04:40:27Z,"嘘つき＝安倍晋三
というのがもう図式として頭にインプットされてしまってる。それくらいあいつ嘘つきのやべぇやつですよね https://t.co/nXhxFvHeBy"
ysaky31,2020-01-15T23:26:01Z,"日本人殺したいんだろうなとしか最近思えない、安倍晋三。お前何人なの…こいつの命が尽きる日が早まるように願うくらい嫌いです…
こんな嫌われてる総理大臣歴史的に初めてなのでは？と思うくらいなんですけど。それでも暴動もない日本…だからのさばるんだろうね。 https://t.co/x243xBzTTE"
h_nakata_access,2020-01-15T14:41:17Z,"@sharenewsjapan1 国内で騒いでいるだけじゃダメさ。
安倍さん中東行ってポイント上げたよ。
あなたたちは邪魔しかしてないよね。
ポスト安倍を狙うなら、安倍さんのカバン持ちでも随行して一部始終を見て来なきゃダメじゃん。諸外国は新人には冷たいんだからね。"
